"lat","lon","lcl","ucl","median"
41.8020286560059,-91.5768127441406,5.22,10.45,15.67
42.0850715637207,-91.4969863891602,6.69,13.39,20.08
42.368221282959,-91.4163665771484,4.7,9.41,14.11
42.651481628418,-91.3349075317383,1.8,3.6,5.4
40.3306198120117,-91.5937805175781,6.28,12.57,18.85
40.6126403808594,-91.5161209106445,7.02,14.05,21.07
40.8947982788086,-91.4376831054688,6.1,12.19,18.29
41.1771087646484,-91.3584594726562,5.79,11.59,17.38
41.4595489501953,-91.2784423828125,7.17,14.34,21.51
41.7421188354492,-91.1976089477539,7.13,14.25,21.38
42.0248184204102,-91.115951538086,4.57,9.14,13.71
42.3076210021973,-91.033462524414,2.35,4.69,7.04
42.5905303955078,-90.9501190185547,3.08,6.16,9.25
39.1459197998047,-91.5342864990234,7.37,14.73,22.1
39.4269409179688,-91.4579162597656,5.11,10.21,15.32
39.7081298828125,-91.3808212280273,5.04,10.07,15.11
39.9894981384277,-91.302963256836,7.04,14.07,21.11
40.2710189819336,-91.2243270874023,7.08,14.15,21.23
40.5527000427246,-91.1449127197266,7.12,14.25,21.37
40.8345184326172,-91.064712524414,7.18,14.35,21.53
41.1164703369141,-90.9837036132812,4.49,8.97,13.46
41.3985710144043,-90.9018936157227,6.86,13.73,20.59
41.6807899475098,-90.8192367553711,5.74,11.48,17.22
41.9631309509277,-90.7357482910156,3.62,7.25,10.87
42.2455902099609,-90.6514129638672,3.71,7.42,11.13
42.5281410217285,-90.5662002563477,5.31,10.63,15.94
37.6856918334961,-91.5515594482422,5.57,11.14,16.72
37.9654197692871,-91.4771728515625,5.33,10.66,15.98
38.2453498840332,-91.4020690917969,5.93,11.86,17.79
38.5254898071289,-91.3262634277344,5.44,10.87,16.31
38.8058090209961,-91.2497024536133,5.11,10.22,15.32
39.0863189697266,-91.1724166870117,7.06,14.12,21.18
39.3669891357422,-91.0943832397461,5.18,10.35,15.53
39.6478385925293,-91.0155792236328,7.12,14.24,21.36
39.9288597106934,-90.9359970092773,7.03,14.06,21.08
40.2100410461426,-90.8556518554688,7.1,14.19,21.29
40.4913711547852,-90.7744979858398,7.24,14.47,21.71
40.7728309631348,-90.6925430297852,7.26,14.52,21.77
41.0544395446777,-90.6097564697266,7.09,14.19,21.28
41.336181640625,-90.5261535644531,7.01,14.02,21.03
41.618049621582,-90.4417037963867,7.05,14.1,21.14
41.9000282287598,-90.3563919067383,0,0.01,0.01
42.1821212768555,-90.2702178955078,5.2,10.39,15.59
42.4643096923828,-90.1831588745117,6.07,12.15,18.22
42.7466011047363,-90.0952072143555,5.72,11.44,17.17
37.0682792663574,-91.3483963012695,5,10,15
37.3472595214844,-91.2738265991211,5.13,10.25,15.38
37.6264495849609,-91.1985626220703,5.44,10.88,16.32
37.9058418273926,-91.1225662231445,5.71,11.42,17.12
38.1854286193848,-91.0458679199219,5.62,11.24,16.86
38.4652214050293,-90.9684219360352,5.23,10.46,15.7
38.7452011108398,-90.8902435302734,5.26,10.52,15.78
39.0253601074219,-90.8112869262695,5.31,10.61,15.92
39.3056907653809,-90.7315826416016,5.18,10.36,15.54
39.5861892700195,-90.6511001586914,7.27,14.53,21.8
39.8668594360352,-90.5698318481445,7.29,14.57,21.86
40.1476783752441,-90.4877624511719,7.27,14.55,21.82
40.4286613464355,-90.4048767089844,7.22,14.44,21.67
40.7097702026367,-90.3211822509766,7.13,14.26,21.39
40.9910087585449,-90.2366485595703,7.22,14.44,21.66
41.2723808288574,-90.1512603759766,7.12,14.25,21.37
41.5538902282715,-90.0650177001953,4.03,8.06,12.09
41.8354988098145,-89.977912902832,4.57,9.13,13.7
42.1172218322754,-89.889907836914,7.15,14.29,21.44
42.399040222168,-89.801010131836,5.84,11.68,17.52
42.6809501647949,-89.711196899414,5.17,10.34,15.51
37.0084190368652,-90.999267578125,5.25,10.49,15.74
37.2870483398438,-90.9231262207031,5.14,10.28,15.42
37.5658988952637,-90.8462829589844,5.47,10.94,16.41
37.8449401855469,-90.7687072753906,5.6,11.21,16.81
38.1241912841797,-90.6903991699219,6.03,12.06,18.1
38.4036293029785,-90.611343383789,5.17,10.34,15.51
38.6832618713379,-90.5315170288086,7.12,14.24,21.36
38.9630699157715,-90.450942993164,7.09,14.18,21.27
39.243049621582,-90.3695831298828,7.17,14.35,21.52
39.5231895446777,-90.2874221801758,7.2,14.41,21.61
39.8035011291504,-90.204460144043,7.34,14.69,22.03
40.0839614868164,-90.1206893920898,7.25,14.5,21.75
40.3645706176758,-90.0360870361328,7.18,14.35,21.53
40.6453094482422,-89.9506607055664,7.18,14.36,21.54
40.9261894226074,-89.8643798828125,7.23,14.46,21.69
41.2071990966797,-89.7772369384766,7.24,14.49,21.73
41.4883193969727,-89.6892166137695,7.14,14.28,21.41
41.7695693969727,-89.6003036499023,3.88,7.76,11.64
42.050910949707,-89.510498046875,6.79,13.58,20.37
42.3323402404785,-89.4197769165039,5.8,11.61,17.41
42.6138801574707,-89.3281173706055,6.27,12.55,18.82
37.2255401611328,-90.5731430053711,5.56,11.12,16.67
37.5040397644043,-90.4947280883789,5.86,11.72,17.58
37.7827415466309,-90.4155731201172,5.47,10.93,16.4
38.0616302490234,-90.3356704711914,5.57,11.14,16.71
38.3407211303711,-90.254997253418,4.48,8.96,13.45
38.6199913024902,-90.1735763549805,7.16,14.31,21.47
38.8994407653809,-90.0913467407227,7.23,14.46,21.69
39.1790618896484,-90.0083465576172,7.23,14.46,21.69
39.4588394165039,-89.9245300292969,7.35,14.69,22.04
39.7387809753418,-89.8398971557617,7.37,14.74,22.1
40.018871307373,-89.7544403076172,7.28,14.55,21.83
40.2991104125977,-89.6681365966797,7.18,14.36,21.54
40.5794792175293,-89.5809936523438,7.27,14.54,21.81
40.8599815368652,-89.4929733276367,7.18,14.37,21.55
41.1406097412109,-89.4040832519531,7.06,14.12,21.18
41.4213600158691,-89.3142929077148,7.25,14.5,21.75
41.702220916748,-89.2236022949219,3.52,7.04,10.56
41.9831695556641,-89.1320037841797,5.71,11.42,17.14
42.2642288208008,-89.0394592285156,5.57,11.15,16.72
42.5453605651855,-88.9459762573242,5.57,11.15,16.72
37.1627616882324,-90.223876953125,5.11,10.22,15.33
37.4408988952637,-90.143913269043,5.44,10.89,16.33
37.71923828125,-90.0631866455078,5.15,10.3,15.45
37.9977684020996,-89.9817123413086,6.74,13.48,20.22
38.2765007019043,-89.8994598388672,5.51,11.02,16.53
38.5554008483887,-89.81640625,5.64,11.28,16.92
38.8344802856445,-89.7325668334961,7.26,14.53,21.79
39.1137313842773,-89.6479263305664,7.26,14.53,21.79
39.393138885498,-89.5624694824219,7.34,14.67,22.01
39.6727104187012,-89.4761734008789,7.36,14.72,22.07
39.9524192810059,-89.3890380859375,7.37,14.73,22.1
40.2322807312012,-89.301040649414,7.37,14.75,22.12
40.512279510498,-89.2121810913086,7.32,14.63,21.95
40.7924003601074,-89.1224365234375,7.35,14.7,22.05
41.072639465332,-89.0318069458008,7.21,14.41,21.62
41.3530006408691,-88.9402770996094,7.22,14.43,21.65
41.6334686279297,-88.8478164672852,7.13,14.26,21.39
41.9140281677246,-88.7544326782227,7.04,14.07,21.11
42.1946907043457,-88.6601028442383,3.8,7.6,11.4
42.4754295349121,-88.5647964477539,5.26,10.53,15.79
37.098690032959,-89.8753662109375,4.48,8.96,13.45
37.3764686584473,-89.7938613891602,5.28,10.56,15.84
37.6544418334961,-89.7115936279297,4.69,9.37,14.06
37.9326095581055,-89.628532409668,6.91,13.81,20.72
