"distn","parama","paramb","n"
"lnorm",3.75,0.3,12
"gamma",4.18,0.13,95
"lnorm",8.4,0.9,0
"weibull",2.06,19,125
"gamma",90.9,1580,56
"lnorm",0.632,0.65,32
"lnorm",1.24,0.28,2
"beta",36,54,NA
"weibull",2,150,154
"lnorm",0.18,0.43,10
"lnorm",-2.3,0.55,0
